"","ticker","calendardate","revenue","cor","rnd","ebit","netinc","epsdil","ncfo","ncfi","capex","ncfdiv","intangibles","debt","de","pe","pb","fcfps","assets","netmargin","marketcap","dps","ln_returns"
"13880","PGNX",20111231,-0.225796744261704,-0.190420960963862,-0.0702081486196754,-0.188349587492258,-0.155811199034619,-0.00724128285268287,-0.154502146447074,0.0270543112798581,0.164934524408996,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00121239129941891,0.0205471404670565,0.00668666404388291,-0.0121341446899221,-0.112569075226589,0.00674206897742257,-0.228641128180316,-0.0406890432766202,0.0179424338431384
"17630","PGNX",20120331,-0.225789685095963,-0.190420960963862,-0.0491649602439732,-0.192008449043463,-0.160389849785275,-0.0072414634531085,-0.160261987226704,0.0269370942654033,0.164001415367238,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00127201950931915,0.0067837544708712,0.0101091325767694,-0.0163735292791984,-0.112704323487265,0.00655153815913662,-0.228375292781187,-0.0406890432766202,-0.792020185048911
"21350","PGNX",20120630,-0.225888513416339,-0.190420960963862,-0.0721284092779656,-0.188308933475022,-0.15576032513739,-0.00724128285268287,-0.154388936151757,0.0270202805337261,0.164964624700666,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00124551808269682,-0.0112881615646096,-4.45967242377914e-05,-0.0119000682402075,-0.112792146767108,0.00654941686460104,-0.2365487456948,-0.0406890432766202,-0.777432903277997
"25043","PGNX",20120930,-0.226059637330685,-0.190420960963862,-0.0721762165972591,-0.189217394398633,-0.156897161071634,-0.00724130865274367,-0.152818944320484,0.0270773765633476,0.165419139104877,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.00106221654855907,-0.00967093311638812,-0.00486365977113723,-0.0106256520139833,-0.112872359515469,0.00573426122806793,-0.240206533063189,-0.0406890432766202,0.784337418624542
"28838","PGNX",20121231,-0.224168754590088,-0.190420960963862,-0.0891318791733645,-0.172053581044969,-0.135418592999008,-0.0072404056506155,-0.151649460609434,0.0270535550410552,0.165229507267358,0.184837962713686,-0.19093296937756,-0.0624348727498117,-0.0011461377328631,-0.0142082096707697,0.00230606671649917,-0.00940325277658467,-0.112608019022945,0.00767833124744108,-0.233029103112643,-0.0406890432766202,0.0204320388172059
"32599","PGNX",20130331,-0.225789685095963,-0.190420960963862,-0.0663596594165462,-0.18915015890859,-0.156813023472369,-0.00724102485207482,-0.151458284733381,0.0278192468290261,0.165340878346536,0.184837962713686,-0.184036997269436,-0.0624348727498117,-0.000220796253300218,-0.0146478171709556,0.0024116232786048,-0.00831089601124969,-0.112310716632295,0.00670986386947342,-0.232835642148737,-0.0406890432766202,0.144148983288925
"36309","PGNX",20130630,-0.225893138386997,-0.190420960963862,-0.0549655816515882,-0.190721593036351,-0.158779495269125,-0.00724107645219643,-0.158251970474013,0.0274286494873106,0.165205427034023,0.184837962713686,-0.184036997269436,-0.0624348727498117,-0.000605066939323944,-0.0153114644678102,0.000377629524184738,-0.0114579238351909,-0.112089191781216,0.00637219234840187,-0.23120952128693,-0.0406890432766202,-0.29680265684859
"39999","PGNX",20130930,-0.226120492207764,-0.190420960963862,-0.0726303861305476,-0.187964937944567,-0.155329853699294,-0.0072408958517708,-0.155085286270118,0.0270554456380625,0.165244557413193,0.184837962713686,-0.184036997269436,-0.0624348727498117,-0.000565314799390455,-0.0146534652330565,-0.000434344030473972,-0.00927321030452098,-0.112135305661068,0.005349728382256,-0.232594121123709,-0.0406890432766202,0.132221634742459
"43701","PGNX",20131231,-0.225609067820792,-0.190420960963862,-0.0770127237324546,-0.185483479277147,-0.151516268095436,-0.00724079265152758,-0.155886302510564,0.0270335147127775,0.165069975721509,0.184837962713686,-0.184195769088635,-0.0624348727498117,-0.000474768258430841,-0.0149932903027934,0.0043035216609596,-0.00961132073188657,-0.112216399305401,0.00712968734255896,-0.229315918160658,-0.0406890432766202,-0.299989920126378
"47381","PGNX",20140331,-0.22588973051388,-0.190420960963862,-0.0804389149484909,-0.186108925696157,-0.153007264621932,-0.00724084425164919,-0.155478318238763,0.0270618736678875,0.165295727909031,0.184837962713686,-0.184195941479318,-0.0624348727498117,-0.000781743116806116,-0.0134909057839567,-0.00283778575226375,-0.0092211933156955,-0.111941037370247,0.00669578618755553,-0.23294880667613,-0.0406890432766202,0.360074730863577
"51084","PGNX",20140630,-0.225972006307691,-0.190420960963862,-0.0724391568533735,-0.188862453555845,-0.156451036126698,-0.0072408958517708,-0.15478410416371,0.0270376740261936,0.165103086042346,0.184837962713686,-0.184196113870001,-0.0624348727498117,-0.000700030384720612,-0.0159722877336143,0.00202187597236862,-0.00898711686598086,-0.112033418774598,0.00623951501744971,-0.228452737239979,-0.0406890432766202,0.148271040422631
"54820","PGNX",20140930,-0.216191653883075,-0.190420960963862,-0.0827177305014825,-0.11408720693118,-0.0624360740465756,-0.00723914144763607,-0.145433574583576,0.026969990653331,0.16456429082146,0.184837962713686,-0.18429558329419,-0.0624348727498117,-0.000878915014421311,0.0354570830697224,-0.000125794079703662,-0.00550197861467402,-0.11162703892803,0.00785651998842915,-0.226076073639964,-0.0406890432766202,0.142914606560332
